alpha,cos_dist,top1_acc,top5_acc
0.05,0.3341713634630044,0.48333333333333334,0.8833333333333333
0.1,0.27852595448493955,0.49166666666666664,0.9083333333333333
0.15000000000000002,0.2330449124177297,0.55,0.9416666666666667
0.2,0.2002569188674291,0.6083333333333333,0.9666666666666667
0.25,0.17985930740833284,0.6916666666666667,0.975
0.3,0.16947109401226043,0.7,0.9666666666666667
0.35000000000000003,0.16604276498158774,0.725,0.9666666666666667
0.4,0.16691561142603556,0.7,0.9583333333333334
0.45,0.17021687130133312,0.6666666666666666,0.9583333333333334
0.5,0.17481163541475933,0.625,0.9583333333333334
